City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Cangucu,BR,-31.39,-52.68,64.99,68,56,4.0,broken clouds
310,Alexandria,EG,31.22,29.96,75.2,64,40,5.82,scattered clouds
311,Atar,MR,20.52,-13.05,87.78,15,0,9.84,clear sky
312,Coquimbo,CL,-29.95,-71.34,59.0,72,20,13.87,few clouds
313,Stryn,NO,61.9,6.72,48.2,93,75,8.05,broken clouds
314,Kwinana,AU,-32.25,115.77,66.99,77,75,6.93,broken clouds
315,Torbay,CA,47.67,-52.73,34.0,59,75,12.75,broken clouds
316,Lumut,MY,4.23,100.63,78.8,94,20,4.5,few clouds
317,Mehamn,NO,71.04,27.85,35.6,64,75,12.75,broken clouds
318,Tuktoyaktuk,CA,69.45,-133.04,5.0,92,40,8.05,scattered clouds
319,Mount Isa,AU,-20.73,139.5,66.2,29,0,13.87,clear sky
320,Aksu,CN,41.12,80.26,41.52,60,49,2.44,scattered clouds
321,Konibodom,TJ,40.28,70.44,42.8,56,0,2.24,clear sky
322,Leo,BF,11.1,-2.1,82.02,28,91,2.13,overcast clouds
323,Pevek,RU,69.7,170.31,22.17,95,90,7.09,overcast clouds
324,Chara,RU,56.91,118.26,9.91,80,9,1.25,clear sky
325,Cam Ranh,VN,11.92,109.16,80.6,88,40,3.36,scattered clouds
326,Beloha,MG,-25.17,45.05,70.02,54,0,14.41,clear sky
327,Kantunilkin,MX,21.09,-87.45,84.2,74,75,17.22,broken clouds
328,Les Cayes,HT,18.2,-73.75,84.69,67,74,5.1,broken clouds
329,Mattru,SL,7.62,-11.83,75.94,94,93,3.56,overcast clouds
330,Lasa,IT,46.62,10.7,42.8,70,5,4.7,clear sky
331,Okato,NZ,-39.2,173.88,60.01,93,100,14.0,moderate rain
332,Amarpur,IN,25.03,86.9,72.28,58,1,7.25,clear sky
333,Garmsar,IR,35.22,52.34,57.06,37,0,1.54,clear sky
334,Onguday,RU,50.75,86.15,22.35,88,49,2.84,scattered clouds
335,Trelew,AR,-43.25,-65.31,77.23,17,0,10.96,clear sky
336,Umm Lajj,SA,25.02,37.27,77.63,61,0,2.71,clear sky
337,Jeremie,HT,18.65,-74.12,84.15,68,95,2.75,light rain
338,Loukhi,RU,66.08,33.04,29.34,96,0,5.61,clear sky
339,Anadyr,RU,64.75,177.48,3.2,84,20,6.71,few clouds
340,Thinadhoo,MV,0.53,72.93,82.85,75,1,10.94,clear sky
341,Kutno,PL,52.23,19.36,48.0,99,100,3.85,light rain
342,Buchanan,LR,5.88,-10.05,80.6,83,75,4.7,broken clouds
343,Mankono,CI,8.06,-6.19,78.44,62,26,0.92,scattered clouds
344,Broken Hill,AU,-31.95,141.43,51.8,87,66,18.34,broken clouds
345,Kargasok,RU,59.06,80.86,25.68,99,100,2.8,light snow
346,Salalah,OM,17.02,54.09,78.8,61,0,5.82,clear sky
347,Mecca,SA,21.43,39.83,77.83,63,0,3.29,clear sky
348,Lavrentiya,RU,65.58,-171.0,22.03,85,100,7.36,overcast clouds
349,Ozark,US,37.02,-93.21,62.01,60,13,4.47,few clouds
350,Tougue,GN,11.47,-11.6,69.69,47,1,1.72,clear sky
351,Kupang,ID,-10.17,123.58,80.02,78,85,7.18,overcast clouds
352,Fortuna,US,40.6,-124.16,63.0,62,1,13.87,clear sky
353,Caravelas,BR,-17.71,-39.25,78.87,72,98,10.09,overcast clouds
354,Hoima,UG,1.44,31.34,62.87,96,68,1.9,broken clouds
355,Palafrugell,ES,41.92,3.16,57.0,93,20,2.24,few clouds
356,Qaqortoq,GL,60.72,-46.03,26.6,73,40,2.24,scattered clouds
357,Guadalupe Victoria,MX,32.29,-115.11,91.0,11,75,4.7,broken clouds
358,Constitucion,CL,-35.33,-72.42,66.79,54,0,8.93,clear sky
359,Molepolole,BW,-24.41,25.5,80.6,19,0,6.93,clear sky
360,Teresopolis,BR,-22.41,-42.97,69.01,88,100,1.01,heavy intensity rain
361,Bilma,NE,18.69,12.92,76.14,19,0,7.54,clear sky
362,Richards Bay,ZA,-28.78,32.04,69.4,82,95,16.44,overcast clouds
